app_id,title,release_date,genres,categories,developer_id,publisher_id,original_price
1548850,Six Days in Fallujah,2023-06-22,"Action, Early Access","Single-player, Online Co-op, Steam Achievements, Family Sharing",9614,19098,"95,94"
1548940,RUN: The world in-between,2022-04-14,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing",21361,17633,"20,94"
1549690,SPRAWL,2023-08-23,"Action, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing",13050,15144,"41,4"
1550010,The Witch of Fern Island,2024-02-27,"Adventure, Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Steam Cloud, Family Sharing",6774,6436,66
1550870,The Indigo Parallel,2022-11-24,Adventure,"Single-player, Steam Achievements, Family Sharing",3982,3278,"25,14"
1551680,Sleeping Dragon,2024-05-24,"Adventure, Indie, Early Access","Single-player, Family Sharing, Steam is learning about this game",23084,19050,"28,8"
1553120,The Inheritance of Crimson Manor,2022-05-05,"Adventure, Indie","Single-player, Steam Achievements, Family Sharing",13541,11218,"31,74"
1553690,How does it work!?,2021-03-04,"Indie, Strategy","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",16451,13621,"20,94"
1553910,My Friend Stalin,2021-06-18,"Action, Adventure, Casual, Indie, RPG, Simulation","Single-player, Family Sharing, Profile Features Limited",3023,2486,"3,12"
1553970,Gold Challenge,2021-03-04,"Action, Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing, Profile Features Limited",9440,7806,1422
1554170,Coonwood,2023-08-02,"Action, Adventure, Casual, Indie","Online PvP, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",19822,16409,"3,12"
1554600,Wife Quest,2021-09-30,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",16520,13677,18
1555140,Born of Bread,2023-12-05,"Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Steam Cloud, Family Sharing",23758,4374,"112,2"
1555150,Pocket Bravery,2023-08-31,"Action, Indie","Single-player, Online PvP, Shared/Split Screen PvP, Steam Achievements, Steam Cloud, Remote Play Together, Family Sharing",20287,14065,"52,8"
1555570,Legacy of Vane,2021-07-16,RPG,"Single-player, Family Sharing, Profile Features Limited",8133,6660,12
1555880,Beam Car Crash Derby,2021-03-17,"Action, Adventure, Casual, Indie, Racing, Simulation, Sports","Single-player, Family Sharing, Profile Features Limited",1773,1454,15
1556490,Retreat To Enen,2022-08-01,"Action, Adventure, Indie","Single-player, Steam Cloud, Family Sharing",9390,6436,66
1556790,Isonzo,2022-09-13,"Action, Indie, Massively Multiplayer, Simulation, Strategy","Single-player, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",2734,2254,78
1556870,Golf Club Nostalgia,2021-09-03,"Casual, Indie, Sports","Single-player, Steam Achievements, Steam Cloud, Family Sharing",5488,18839,"81,6"
1557180,Ex Natura: Nature Corrupted,2023-07-19,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",2719,2248,"52,8"
1557430,Midnight is Lost,2021-03-17,Strategy,"Single-player, Steam Achievements, Family Sharing, Profile Features Limited",18205,15078,"6,3"
1557580,DON'T LOOK AWAY,2022-10-16,"Action, Adventure, Indie, Early Access","Online PvP, Family Sharing",5890,4799,"9,3"
1557740,ROUNDS,2021-04-01,"Action, Indie","Online PvP, Shared/Split Screen PvP, Remote Play Together, Family Sharing",12013,9941,"15,6"
1558490,Firelight Fantasy: Resistance,2021-07-11,"Action, Adventure, Indie, Massively Multiplayer, RPG","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",23663,19565,144
1558840,Path of Kami: Journey Begins,2022-11-09,"Adventure, Casual, Simulation","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",3591,2950,"11,94"
